Foundation Name,Min Val,Max Val,Foundation Type,Foundation Url,Foundation Product,Foundation Image,Description
Deep Neutral,92,110,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086536,20168-pmywghvcbz-536.jpg,59484-pmywghvcbz-pro-Deep Neutral.jpg,Deep Neutral
Medium Tan Warm,110,118,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086510,16509-nwnpzezkrp-510.jpg,19589-nwnpzezkrp-pro-Medium Tan Warm.jpg,Medium Tan Warm
Deep Warm,118,126,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086544,85612-caltbrjjio-544.jpg,94054-caltbrjjio-pro-Deep Warm.jpg,Deep Warm
Darm Warm,126,134,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086569,33091-kbagbpvvdz-569.jpg,99251-kbagbpvvdz-pro-Darm Warm.jpg,Darm Warm
Light Warm,134,142,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086460,92509-hycijmaflh-460.jpg,10484-hycijmaflh-pro-Light Warm.jpg,Light Warm
Dark Neutral,142,150,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086551,83293-svwsgusjqa-551.jpg,26163-svwsgusjqa-pro-Dark Neutral.jpg,Dark Neutral
Medium Neutral,150,158,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086486,7086-onpmlzpdau-486.jpg,54051-onpmlzpdau-pro-Medium Neutral.jpg,Medium Neutral
Neutral Finish,158,166,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086478,103109-okncpumspj-478.jpg,51397-okncpumspj-pro-Neutral Finish.jpg,Neutral Finish
Fair Cool,166,174,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation  ,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086452,73563-javulxvhgl-452.jpg,62517-javulxvhgl-pro-Fair Cool.jpg,Fair Cool
Medium Warm,174,182,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086502,52917-nkblqyjcab-502.jpg,101614-nkblqyjcab-pro-Medium Warm.jpg,Medium Warm
Tan Warm,182,201,BENEFIT COSMETICS   Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products%20grid:p432858:product&skuId=2086528,69290-alwxdvtynv-528.jpg,91666-alwxdvtynv-pro-Tan Warm.jpg,Tan Warm
